"","word","n"
"860","tub",300
"861","tvs",300
"862","ummm",300
"863","underwood",300
"864","ups",300
"865","velvet",300
"866","venue",300
"867","views",300
"868","votes",300
"869","wi",300
"870","yell",300
"871","yess",300
"872","zoe",300
"873","56",200
"874","5th",200
"875","60",200
"876","6pm",200
"877","760yo",200
"878","7th",200
"879","80s",200
"880","8pm",200
"881","8th",200
"882","90",200
"883","bboothie",200
"884","bff’s",200
"885","bible",200
"886","bike",200
"887","biz",200
"888","block",200
"889","bloopers",200
"890","boi",200
"891","boojie",200
"892","books",200
"893","boop",200
"894","boots",200
"895","booty",200
"896","bop",200
"897","bound",200
"898","bowles",200
"899","brb",200
"900","bri",200
"901","bride",200
"902","bright",200
"903","bsn",200
"904","bu",200
"905","bud",200
"906","buds",200
"907","buildseries",200
"908","built",200
"909","bullied",200
"910","bullies",200
"911","bum",200
"912","burnt",200
"913","buzz",200
"914","chicks",200
"915","chiefs",200
"916","chooses",200
"917","circle",200
"918","closer",200
"919","code",200
"920","colleges",200
"921","cologne",200
"922","comfy",200
"923","compete",200
"924","composure",200
"925","coo",200
"926","cook",200
"927","coolest",200
"928","copy",200
"929","cost",200
"930","cou",200
"931","country’s",200
"932","counts",200
"933","crock",200
"934","crocodile",200
"935","cruz",200
"936","cunt",200
"937","curse",200
"938","cuts",200
"939","debt",200
"940","decent",200
"941","ded",200
"942","degree",200
"943","dems",200
"944","denied",200
"945","denver",200
"946","dibs",200
"947","digs",200
"948","direct",200
"949","dirt",200
"950","dirty",200
"951","dpt",200
"952","dpts",200
"953","dr",200
"954","dreck",200
"955","drives",200
"956","dude’s",200
"957","due",200
"958","dull",200
"959","dunno",200
"960","duo",200
"961","eff",200
"962","el",200
"963","eloquent",200
"964","emily’s",200
"965","emilykrsire",200
"966","en",200
"967","enews",200
"968","enter",200
"969","eric_bigger",200
"970","etiquette",200
"971","ev",200
"972","ewwww",200
"973","ex’s",200
"974","excellent",200
"975","expert",200
"976","exposi",200
"977","eyebrows",200
