,city,date,polarity,state,text
13,St Charles,Sun Jul 29 14:48:35 +0000 2018,1.0,MO,@norahbufford @kennychesney @Jason_Tartick @Colt3FIVE you look so good!!!!!! i would literally be freaking out!!!
14,Chicago,Sun Jul 29 22:19:35 +0000 2018,-0.3,IL,@cc_colton_novel Ugh. Did they at least go off the percentage from credit cards? (Assuming where you worked had sof… https://t.co/bxElzbZOQ2
15,Bolivar,Sun Jul 29 22:24:37 +0000 2018,0.0,MO,@holiday_colton  @chappell_21  made me think of you two.
16,Atlanta,Sun Jul 29 22:26:10 +0000 2018,0.0,GA,@MLukas2 @Casshole12 @Colt3FIVE @Jason_Tartick We call that Jason dude Tony Bennett!!! ☝🏿🙌🏼😘
17,Indianapolis,Sun Jul 29 22:49:00 +0000 2018,0.0,IN,@Cecelialeer that’s colton in the middle
0,Sterling Heights,Mon Jul 30 22:24:07 +0000 2018,0.78125,MI,@TanyaRad had those love eyes while talking with Jason during their interview today!! #thebachelorette https://t.co/OaRW7smZAG
1,Woodmoor,Mon Jul 30 22:25:20 +0000 2018,0.0,CO,@FyxSports @cam_reiman_71 @colton_dill @j_dillon18 @beastmodecrice @kj_smed_05 @GMarch68 @DillDlazyB Way to work guys! #PTR
2,Los Angeles,Mon Jul 30 22:45:05 +0000 2018,0.0,CA,"Bachelorettes' Men Tell All 🙊
coltonunderwood and @still_wills
Spill the beans tonight on ABC at 8pm..Dont miss out… https://t.co/6wLrCL2Zaf"
3,Plano,Mon Jul 30 16:17:45 +0000 2018,0.0,TX,"Oh because colton and bailey are looking at my Twitter you should all know, they paid for the tennis shoes that cad… https://t.co/BPKrQOHEZV"
4,Land O' Lakes,Mon Jul 30 16:22:10 +0000 2018,0.8,FL,@colton_billett happy bday BUDDY lol 🤠
5,Northwest Harwich,Mon Jul 30 16:36:15 +0000 2018,0.732421875,MA,So freaking excited to see @TanyaRad @OnAirWithRyan video with @Jason_Tartick !!!
6,Okemos,Mon Jul 30 16:47:21 +0000 2018,0.0,MI,Jason the Buffalo Guy! He should be the next Bachelor. @Jason_Tartick @tartickfor #BachelorNation #BillsMafia
7,Okemos,Mon Jul 30 16:47:28 +0000 2018,0.0,MI,@BacheloretteABC Jason the Buffalo Guy! He should be the next Bachelor. @Jason_Tartick @tartickfor #BachelorNation #BillsMafia
8,Manhattan,Mon Jul 30 13:49:25 +0000 2018,0.8,NY,@TVMarci @BachelorABC @GMA @Jason_Tartick Lol
9,Reno,Mon Jul 30 21:26:23 +0000 2018,0.0,NV,"Also, @balockaye_h .. GET. YOUR. GIRL. and stop letting everything get to your head. Follow your heart."
10,Lehi,Mon Jul 30 21:29:34 +0000 2018,0.0,UT,@shelbie_colton did you take one home ?
11,Delta,Mon Jul 30 18:19:31 +0000 2018,0.0,CO,@Jason_Tartick @BacheloretteABC @eddie_why That friggen suit JASON
12,Green Bay,Mon Jul 30 17:27:39 +0000 2018,0.2,WI,😍😍😍 can’t get over the interview this morning with @TanyaRad &amp; @Jason_Tartick please date. Thanks. @OnAirWithRyan
13,Yaphank,Mon Jul 30 17:50:12 +0000 2018,0.91552734375,NY,@Jason_Tartick @BacheloretteABC @eddie_why Soooo excited!! Looking forward to hearing what everyone has to say!!
14,Yaphank,Mon Jul 30 17:55:13 +0000 2018,0.15625,NY,@OnAirWithRyan @TanyaRad @Jason_Tartick These young ladies knew what they were talking about!!
15,Portland,Mon Jul 30 14:38:55 +0000 2018,-0.15625,OR,@kitzypurry I mean @Jason_Tartick’s only flaw is that he’s a Bills fan 👀
16,Worcester,Mon Jul 30 14:59:59 +0000 2018,0.0,MA,@JoseRolon2610 @coc121461 @DayDegenza @colton_kennemur @ChicopeeDepot21 Go get em!!
17,Pecan Plantation,Mon Jul 30 11:08:12 +0000 2018,0.5,TX,@Bailzxo @lilfaboooo @raglandcolton That’s for the permission sister :-))
18,Pecan Plantation,Mon Jul 30 11:55:55 +0000 2018,0.2,TX,@Bailzxo @lilfaboooo @raglandcolton *thanks
19,Chicago,Mon Jul 30 15:19:15 +0000 2018,0.6,IL,@Allie721 @Jason_Tartick Hahaha perfectly imperfect you know
20,Syracuse,Mon Jul 30 20:12:47 +0000 2018,0.52,NY,Thank you @liz_colton &amp; Sally for sending these very thoughtful gifts all the way from North Carolina. I feel very… https://t.co/zJFVe7j7YC
21,Salina,Mon Jul 30 20:13:05 +0000 2018,-0.2916666666666667,KS,i will never forget the night @ctityyy &amp; i were going HARD to hips dont lie x shakira and colton looks at me and sa… https://t.co/og7Ag5J8S1
22,Salina,Mon Jul 30 20:13:05 +0000 2018,-0.2916666666666667,KS,i will never forget the night @ctityyy &amp; i were going HARD to hips dont lie x shakira and colton looks at me and sa… https://t.co/og7Ag5J8S1
23,Salina,Mon Jul 30 20:13:05 +0000 2018,-0.2916666666666667,KS,i will never forget the night @ctityyy &amp; i were going HARD to hips dont lie x shakira and colton looks at me and sa… https://t.co/og7Ag5J8S1
24,Lehi,Mon Jul 30 23:10:45 +0000 2018,0.0,UT,@shelbie_colton oh bummer
